x,y,z,type
-36.741546023288265,627.2637148028284,0.0,CAF
-444.5270918637986,559.1908499770534,0.0,CAF
476.5307156352626,225.9946001037065,0.0,CAF
778.956695533662,275.1380271504722,0.0,CAF
698.5661864772135,485.7776903622382,0.0,CAF
143.14374094802156,674.213806489809,0.0,CAF
618.5094458450799,-423.23266639249977,0.0,CAF
-512.7906815034678,-49.650437177034405,0.0,CAF
150.05751545169005,-335.8965953634002,0.0,CAF
-637.7790095422008,-532.4226223469881,0.0,CAF
-655.8183981897037,189.5979481188773,0.0,CAF
600.899188028839,471.9183538859188,0.0,CAF
-648.5867489962113,297.34157423466695,0.0,CAF
590.7907728924413,773.5019658562851,0.0,CAF
606.763976056089,-430.78219027581594,0.0,CAF
-275.05220098421944,51.60854526634921,0.0,CAF
624.0563591825057,-381.4162509461738,0.0,CAF
-196.47357765976676,-328.7444148423639,0.0,CAF
-0.23363789702045779,588.7690898651617,0.0,CAF
-553.8124102252341,-518.4997109327039,0.0,CAF
376.82931917201586,-636.0974524330328,0.0,CAF
-527.2380861559612,-690.5334930653651,0.0,CAF
-635.3790556340309,-584.4587090711503,0.0,CAF
619.4153887110779,-641.7715156463883,0.0,CAF
419.4722088118838,-724.9593219732867,0.0,CAF
738.0939041568076,-238.34085305646443,0.0,CAF
-207.5832980691098,-682.1416012540157,0.0,CAF
-539.6987739970557,-119.05837570006929,0.0,CAF
793.9285934243649,459.6483908587186,0.0,CAF
412.65379671516257,-699.6088154598356,0.0,CAF
615.8234047160684,-743.6344600004371,0.0,CAF
-191.92796959528584,-664.9763680035285,0.0,CAF
574.2771827560928,442.02223930798687,0.0,CAF
760.4881760548972,108.66705208972814,0.0,CAF
185.73894938441595,-342.3653453013153,0.0,CAF
617.6035029790819,-500.6033658956219,0.0,CAF
743.3865177423745,107.63395934780056,0.0,CAF
111.11786594826981,504.3892534514239,0.0,CAF
688.0763217130268,3.5458921649849344,0.0,CAF
-45.785080948776454,668.4443808695064,0.0,CAF
394.8369203505363,-713.4363644671726,0.0,CAF
629.555591316458,-748.8952861170217,0.0,CAF
634.5939051501662,345.4201210705223,0.0,CAF
780.943412345061,-780.47613655102,0.0,CAF
678.1586313905229,-719.5395585117902,0.0,CAF
-221.25190973153485,-331.97084294407597,0.0,CAF
776.222973201177,134.08113354114403,0.0,CAF
-659.1401886983627,78.7868312462873,0.0,CAF
180.00131123309563,-518.3248798533009,0.0,CAF
792.959075620402,319.1159904875999,0.0,CAF
618.3981897036415,793.1307279529071,0.0,CAF
-648.221193102914,168.23676896271525,0.0,CAF
